Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
On the Security of Tan et al. Serverless RFID Authentication and Search Protocols,Radio Frequency Identification. Security and Privacy Issues,,,,10.1007/978-3-642-36140-1_1,Masoumeh SafkhaniPedro Peris-LopezNasour BagheriMajid NaderiJulio Cesar Hernandez-Castro,2013,http://link.springer.com/chapter/10.1007/978-3-642-36140-1_1,Chapter
Development of a System for Communicating Human Factors Readiness,"Human Interface and the Management of Information. Information and Interaction for Learning, Culture, Collaboration and Business,",,,,10.1007/978-3-642-39226-9_52,Matthew JohnstonKatie Del GiudiceKelly S. HaleBrent Winslow,2013,http://link.springer.com/chapter/10.1007/978-3-642-39226-9_52,Chapter
The Role of Gender and Age on User Preferences in Narrative Experiences,Interactive Storytelling,,,,10.1007/978-3-319-02756-2_13,Michael Garber-BarronMei Si,2013,http://link.springer.com/chapter/10.1007/978-3-319-02756-2_13,Chapter
Message-Locked Encryption and Secure Deduplication,Advances in Cryptology – EUROCRYPT 2013,,,,10.1007/978-3-642-38348-9_18,Mihir BellareSriram KeelveedhiThomas Ristenpart,2013,http://link.springer.com/chapter/10.1007/978-3-642-38348-9_18,Chapter
Instantiating Random Oracles via UCEs,Advances in Cryptology – CRYPTO 2013,,,,10.1007/978-3-642-40084-1_23,Mihir BellareViet Tung HoangSriram Keelveedhi,2013,http://link.springer.com/chapter/10.1007/978-3-642-40084-1_23,Chapter
vUPS: Virtually Unifying Personal Storage for Fast and Pervasive Data Accesses,"Mobile Computing, Applications, and Services",,,,10.1007/978-3-642-36632-1_11,Mohammed A. HassanKshitiz BhattaraiSongqing Chen,2013,http://link.springer.com/chapter/10.1007/978-3-642-36632-1_11,Chapter
CrowdShare: Secure Mobile Resource Sharing,Applied Cryptography and Network Security,,,,10.1007/978-3-642-38980-1_27,N. AsokanAlexandra DmitrienkoMarcin NagyElena ReshetovaAhmad-Reza SadeghiThomas SchneiderStanislaus Stelle,2013,http://link.springer.com/chapter/10.1007/978-3-642-38980-1_27,Chapter
Straight Line Triangle Representations,Graph Drawing,,,,10.1007/978-3-319-03841-4_11,Nieke AertsStefan Felsner,2013,http://link.springer.com/chapter/10.1007/978-3-319-03841-4_11,Chapter
Big Data Introduction,Big Data Application Architecture Q & A,,,,10.1007/978-1-4302-6293-0_1,Nitin SawantHimanshu Shah,2013,http://link.springer.com/chapter/10.1007/978-1-4302-6293-0_1,Chapter
Potential Concerns and Common Benefits of Cloud-Based Enterprise Resource Planning (ERP),Cloud Computing,,,,10.1007/978-1-4471-5107-4_9,S. Parthasarathy,2013,http://link.springer.com/chapter/10.1007/978-1-4471-5107-4_9,Chapter
Handling Data,Real World Windows 8 Development,,,,10.1007/978-1-4302-5026-5_8,Samidip Basu,2013,http://link.springer.com/chapter/10.1007/978-1-4302-5026-5_8,Chapter
Impact of Cloud Computing on Digital Forensic Investigations,Advances in Digital Forensics IX,,,,10.1007/978-3-642-41148-9_20,Stephen O’ShaughnessyAnthony Keane,2013,http://link.springer.com/chapter/10.1007/978-3-642-41148-9_20,Chapter
Fallacies as Argumentative Devices in Political Debates,Multimodal Communication in Political Speech. Shaping Minds and Social Action,,,,10.1007/978-3-642-41545-6_18,Valentino ZurloniLuigi Anolli,2013,http://link.springer.com/chapter/10.1007/978-3-642-41545-6_18,Chapter
Windows 8 Modern App Data Access Options,Beginning Windows 8 Data Development,,,,10.1007/978-1-4302-4993-1_3,Vinodh Kumar,2013,http://link.springer.com/chapter/10.1007/978-1-4302-4993-1_3,Chapter
Local Data Access III: SQLite,Beginning Windows 8 Data Development,,,,10.1007/978-1-4302-4993-1_6,Vinodh Kumar,2013,http://link.springer.com/chapter/10.1007/978-1-4302-4993-1_6,Chapter
Understanding social relationship evolution by using real-world sensing data,World Wide Web,,16,6-May,10.1007/s11280-012-0189-x,Zhiwen YuXingshe ZhouDaqing ZhangGregor SchieleChristian Becker,2013,http://link.springer.com/article/10.1007/s11280-012-0189-x,Article
Blue Gene/Q: by co-design,Computer Science - Research and Development,,28,3-Feb,10.1007/s00450-012-0215-3,,2013,http://link.springer.com/article/10.1007/s00450-012-0215-3,Article
Architecture of Data Exchange with Minimal Client-Server Interaction at Multipoint Video Conferencing,"Internet of Things, Smart Spaces, and Next Generation Networks and Systems",,,,10.1007/978-3-319-10353-2_15,Anton I. SavelievIrina V. VatamaniukAndrey L. Ronzhin,2014,http://link.springer.com/chapter/10.1007/978-3-319-10353-2_15,Chapter
Salvaging Indifferentiability in a Multi-stage Setting,Advances in Cryptology – EUROCRYPT 2014,,,,10.1007/978-3-642-55220-5_33,Arno Mittelbach,2014,http://link.springer.com/chapter/10.1007/978-3-642-55220-5_33,Chapter
"Design, Deployment and Evaluation of a Social Tool for Developing Effective Working Relationships in Large Organizations","Design, User Experience, and Usability. User Experience Design Practice",,,,10.1007/978-3-319-07638-6_6,Athanasios KarapantelakisYonghui Guo,2014,http://link.springer.com/chapter/10.1007/978-3-319-07638-6_6,Chapter
A Requirements-Based Model for Effort Estimation in Service-Oriented Systems,Service-Oriented Computing – ICSOC 2013 Workshops,,,,10.1007/978-3-319-06859-6_8,Bertrand VerlaineIvan J. JuretaStéphane Faulkner,2014,http://link.springer.com/chapter/10.1007/978-3-319-06859-6_8,Chapter
"Narratives, Formalism, Computational Tools, and Nonlinearity","Language, Culture, Computation. Computing of the Humanities, Law, and Narratives",,,,10.1007/978-3-642-45324-3_11,Ephraim Nissan,2014,http://link.springer.com/chapter/10.1007/978-3-642-45324-3_11,Chapter
The Automated Discovery of Hybrid Processes,Business Process Management,,,,10.1007/978-3-319-10172-9_27,Fabrizio Maria MaggiTijs SlaatsHajo A. Reijers,2014,http://link.springer.com/chapter/10.1007/978-3-319-10172-9_27,Chapter
Migration to Governmental Cloud Digital Forensics Community: Economics and Methodology,"Economics of Grids, Clouds, Systems, and Services",,,,10.1007/978-3-319-14609-6_8,Gianluigi Me,2014,http://link.springer.com/chapter/10.1007/978-3-319-14609-6_8,Chapter
Smartphones as Distributed Witnesses for Digital Forensics,Advances in Digital Forensics X,,,,10.1007/978-3-662-44952-3_16,Heloise PieterseMartin Olivier,2014,http://link.springer.com/chapter/10.1007/978-3-662-44952-3_16,Chapter
Accessing Databases,Learn Java for Android Development,,,,10.1007/978-1-4302-6455-2_14,Jeff Friesen,2014,http://link.springer.com/chapter/10.1007/978-1-4302-6455-2_14,Chapter
Solutions to Exercises,Learn Java for Android Development,,,,10.1007/978-1-4302-6455-2_17,Jeff Friesen,2014,http://link.springer.com/chapter/10.1007/978-1-4302-6455-2_17,Chapter
"Leakage Resilient Proofs of Ownership in Cloud Storage, Revisited",Applied Cryptography and Network Security,,,,10.1007/978-3-319-07536-5_7,Jia XuJianying Zhou,2014,http://link.springer.com/chapter/10.1007/978-3-319-07536-5_7,Chapter
Application of Frontal EEG Asymmetry to User Experience Research,Engineering Psychology and Cognitive Ergonomics,,,,10.1007/978-3-319-07515-0_24,Jing ChaiYan GeYanfang LiuWen LiLei ZhouLin YaoXianghong Sun,2014,http://link.springer.com/chapter/10.1007/978-3-319-07515-0_24,Chapter
A Cloudlet-Based Proximal Discovery Service for Machine-to-Machine Applications,"Mobile Computing, Applications, and Services",,,,10.1007/978-3-319-05452-0_16,Jonas MichelChristine Julien,2014,http://link.springer.com/chapter/10.1007/978-3-319-05452-0_16,Chapter
A Cloud Computing Framework for On-Demand Forecasting Services,Internet of Vehicles – Technologies and Services,,,,10.1007/978-3-319-11167-4_35,Kwa-Sur TamRakesh Sehgal,2014,http://link.springer.com/chapter/10.1007/978-3-319-11167-4_35,Chapter
Toward the Web of Functions: Interoperable Higher-Order Functions in SPARQL,The Semantic Web – ISWC 2014,,,,10.1007/978-3-319-11915-1_26,Maurizio Atzori,2014,http://link.springer.com/chapter/10.1007/978-3-319-11915-1_26,Chapter
Introduction,Collaborative Web Hosting,,,,10.1007/978-3-319-03807-0_1,Reaz AhmedRaouf Boutaba,2014,http://link.springer.com/chapter/10.1007/978-3-319-03807-0_1,Chapter
Conclusion,Collaborative Web Hosting,,,,10.1007/978-3-319-03807-0_6,Reaz AhmedRaouf Boutaba,2014,http://link.springer.com/chapter/10.1007/978-3-319-03807-0_6,Chapter
Secure Gateway of Internet of Things Based on AppWeb and Secure Sockets Layer for Intelligent Granary Management System,Computer and Computing Technologies in Agriculture VII,,,,10.1007/978-3-642-54344-9_10,Rong TaoSenbin YangWei TanChangqing Zhang,2014,http://link.springer.com/chapter/10.1007/978-3-642-54344-9_10,Chapter
SAFECode Whitepaper: Fundamental Practices for Secure Software Development 2nd Edition,ISSE 2014 Securing Electronic Business Processes,,,,10.1007/978-3-658-06708-3_1,Stacy Simpson,2014,http://link.springer.com/chapter/10.1007/978-3-658-06708-3_1,Chapter
"Advanced Concepts for Architecture Support
            Process-driven applications
            Architecture
           in Process-Driven Applications",Process-Driven Applications with BPMN,,,,10.1007/978-3-319-07218-0_5,Volker Stiehl,2014,http://link.springer.com/chapter/10.1007/978-3-319-07218-0_5,Chapter
Algorithms for Low Bit-Rate Coding with Adaptation to Statistical Characteristics of Speech Signal,Speech and Computer,,,,10.1007/978-3-319-23132-7_8,Anton SavelievOleg BasovAndrey RonzhinAlexander Ronzhin,2015,http://link.springer.com/chapter/10.1007/978-3-319-23132-7_8,Chapter
Random-Oracle Uninstantiability from Indistinguishability Obfuscation,Theory of Cryptography,,,,10.1007/978-3-662-46497-7_17,Christina BrzuskaPooya FarshimArno Mittelbach,2015,http://link.springer.com/chapter/10.1007/978-3-662-46497-7_17,Chapter
Data Access with SQLite and Data Binding,Xamarin Mobile Application Development,,,,10.1007/978-1-4842-0214-2_7,Dan Hermes,2015,http://link.springer.com/chapter/10.1007/978-1-4842-0214-2_7,Chapter
Multiple parameter control for ant colony optimization applied to feature selection problem,Neural Computing and Applications,,26,7,10.1007/s00521-015-1829-8,Gang WangHaiCheng Eric ChuYuxuan ZhangHuiling ChenWeitong HuYing LiXuJun Peng,2015,http://link.springer.com/article/10.1007/s00521-015-1829-8,Article
"Agriculture Big Data: Research Status, Challenges and Countermeasures",Computer and Computing Technologies in Agriculture VIII,,,,10.1007/978-3-319-19620-6_17,Haoran ZhangXuyang WeiTengfei ZouZhongliang LiGuocai Yang,2015,http://link.springer.com/chapter/10.1007/978-3-319-19620-6_17,Chapter
Understanding What SQLite Is,Introducing SQLite for Mobile Developers,,,,10.1007/978-1-4842-1766-5_2,Jesse Feiler,2015,http://link.springer.com/chapter/10.1007/978-1-4842-1766-5_2,Chapter
DD-POR: Dynamic Operations and Direct Repair in Network Coding-Based Proof of Retrievability,Computing and Combinatorics,,,,10.1007/978-3-319-21398-9_56,Kazumasa OmoteTran Phuong Thao,2015,http://link.springer.com/chapter/10.1007/978-3-319-21398-9_56,Chapter
Survey of Pervasive Games and Technologies,A Survey of Characteristic Engine Features for Technology-Sustained Pervasive Games,,,,10.1007/978-3-319-17632-1_2,Kim J. L. Nevelsteen,2015,http://link.springer.com/chapter/10.1007/978-3-319-17632-1_2,Chapter
Experimental Assessment of Cloud Software Dependability Using Fault Injection,Technological Innovation for Cloud-Based Engineering Systems,,,,10.1007/978-3-319-16766-4_13,Lena HerscheidDaniel RichterAndreas Polze,2015,http://link.springer.com/chapter/10.1007/978-3-319-16766-4_13,Chapter
Data Services,Pro T-SQL Programmer's Guide,,,,10.1007/978-1-4842-0145-9_17,Miguel CebolleroJay NatarajanMichael Coles,2015,http://link.springer.com/chapter/10.1007/978-1-4842-0145-9_17,Chapter
Interactive Message-Locked Encryption and Secure Deduplication,Public-Key Cryptography -- PKC 2015,,,,10.1007/978-3-662-46447-2_23,Mihir BellareSriram Keelveedhi,2015,http://link.springer.com/chapter/10.1007/978-3-662-46447-2_23,Chapter
Modeling and Simulation for UAS Integration into the United States National Airspace System and NextGen,Modelling and Simulation for Autonomous Systems,,,,10.1007/978-3-319-22383-4_4,Richard S. StansburyJohn RobbinsMassood TowhidnejadBrent TerwilligerMohammad MoallemiJayson Clifford,2015,http://link.springer.com/chapter/10.1007/978-3-319-22383-4_4,Chapter
IRIS-CoMan: Scalable and Reliable Control and Management Architecture for SDN-Enabled Large-Scale Networks,Journal of Network and Systems Management,,23,2,10.1007/s10922-015-9341-0,Taesang ChoiByungjoon LeeSaehoon KangSejun SongHyungbae ParkSangsik YoonSunhee Yang,2015,http://link.springer.com/article/10.1007/s10922-015-9341-0,Article
Social Media Usage as a Service: A Service-Dominant Logic Perspective,Web-Age Information Management,,,,10.1007/978-3-319-23531-8_8,Tao HuHengjie Wang,2015,http://link.springer.com/chapter/10.1007/978-3-319-23531-8_8,Chapter
Knex and Bookshelf,JavaScript Frameworks for Modern Web Dev,,,,10.1007/978-1-4842-0662-1_12,Tim AmblerNicholas Cloud,2015,http://link.springer.com/chapter/10.1007/978-1-4842-0662-1_12,Chapter
Design and implementation of parallel video combiner architecture for multi-user video conferencing at ultra-high definition resolution,Multimedia Tools and Applications,,74,17,10.1007/s11042-014-1907-4,Vishnu Monn BaskaranYoong Choon ChangJonathan LooKokSheik Wong,2015,http://link.springer.com/article/10.1007/s11042-014-1907-4,Article
A New Approach for Contact Graph Representations and Its Applications,Algorithms and Data Structures,,,,10.1007/978-3-319-21840-3_14,Yi-Jun ChangHsu-Chun Yen,2015,http://link.springer.com/chapter/10.1007/978-3-319-21840-3_14,Chapter
Computing Resource Allocation with PEADGA,Configurable Intelligent Optimization Algorithm,,,,10.1007/978-3-319-08840-2_10,Yuanjun LailiFei TaoLin Zhang,2015,http://link.springer.com/chapter/10.1007/978-3-319-08840-2_10,Chapter
"BiobankCloud: A Platform for the Secure Storage, Sharing, and Processing of Large Biomedical Data Sets",Biomedical Data Management and Graph Online Querying,,,,10.1007/978-3-319-41576-5_7,Alysson BessaniJörgen BrandtMarc BuxVinicius CogoLora DimitrovaJim DowlingAli GholamiKamal HakimzadehMicheal HummelMahmoud IsmailErwin LaureUlf LeserJan-Eric LittonRoxanna MartinezSalman NiaziJane Reichel,2016,http://link.springer.com/chapter/10.1007/978-3-319-41576-5_7,Chapter
Deploying and Running Microservices,Microservices From Day One,,,,10.1007/978-1-4842-1937-9_10,Cloves Carneiro Jr.Tim Schmelmer,2016,http://link.springer.com/chapter/10.1007/978-1-4842-1937-9_10,Chapter
P2P,Encyclopedia of Algorithms,,,,10.1007/978-1-4939-2864-4_272,Dahlia Malkhi,2016,http://link.springer.com/referenceworkentry/10.1007/978-1-4939-2864-4_272,ReferenceWorkEntry
"Issues on developing interoperable cloud applications: definitions, concepts, approaches, requirements, characteristics and evaluation models",Journal of Software Engineering Research and Development,,4,1,10.1186/s40411-016-0033-6,Elias NogueiraAna MoreiraDaniel LucrédioVinícius GarciaRenata Fortes,2016,http://link.springer.com/article/10.1186/s40411-016-0033-6,Article
Cloud Computing as a Service,Cloud as a Service,,,,10.1007/978-1-4842-0103-9_1,Enrique Castro-LeonRobert Harmon,2016,http://link.springer.com/chapter/10.1007/978-1-4842-0103-9_1,Chapter
A new construction on randomized message-locked encryption in the standard model via UCEs,Science China Information Sciences,,60,5,10.1007/s11432-015-1037-2,Huige WangKefei ChenBaodong QinXuejia LaiYunhua Wen,2016,http://link.springer.com/article/10.1007/s11432-015-1037-2,Article
A Live Virtual Simulator for Teaching Cybersecurity to Information Technology Students,Learning and Collaboration Technologies,,,,10.1007/978-3-319-39483-1_43,Margus ErnitsKaido Kikkas,2016,http://link.springer.com/chapter/10.1007/978-3-319-39483-1_43,Chapter
Databases,Lean Python,,,,10.1007/978-1-4842-2385-7_11,Paul Gerrard,2016,http://link.springer.com/chapter/10.1007/978-1-4842-2385-7_11,Chapter
A forensic acquisition and analysis system for IaaS,Cluster Computing,,19,1,10.1007/s10586-015-0509-x,Saad AlqahtanyNathan ClarkeSteven FurnellChristoph Reich,2016,http://link.springer.com/article/10.1007/s10586-015-0509-x,Article
The Semantics of Hybrid Process Models,On the Move to Meaningful Internet Systems: OTM 2016 Conferences,,,,10.1007/978-3-319-48472-3_32,Tijs SlaatsDennis M. M. SchunselaarFabrizio M. MaggiHajo A. Reijers,2016,http://link.springer.com/chapter/10.1007/978-3-319-48472-3_32,Chapter
Enhancing Least Square Support Vector Regression with Gradient Information,Neural Processing Letters,,43,1,10.1007/s11063-014-9402-5,Xiao Jian ZhouTing Jiang,2016,http://link.springer.com/article/10.1007/s11063-014-9402-5,Article
5G-Related Projects,Cloud Based 5G Wireless Networks,,,,10.1007/978-3-319-47343-7_6,Yin ZhangMin Chen,2016,http://link.springer.com/chapter/10.1007/978-3-319-47343-7_6,Chapter
Towards a Standardized Quality Assessment Framework for OCCI-Controlled Cloud Infrastructures,Cloud Computing and Services Science,,,,10.1007/978-3-319-29582-4_4,Yongzheng Liang,2016,http://link.springer.com/chapter/10.1007/978-3-319-29582-4_4,Chapter
From Noticing to Suspecting: The Initial Stages in the Information Behaviour of Informal Caregivers of People with Dementia,"Human Aspects of IT for the Aged Population. Applications, Services and Contexts",,,,10.1007/978-3-319-58536-9_36,Ágústa Pálsdóttir,2017,http://link.springer.com/chapter/10.1007/978-3-319-58536-9_36,Chapter
Creating ASP.NET Core Web Applications,Beginning Visual Studio for Mac,,,,10.1007/978-1-4842-3033-6_10,Alessandro Del Sole,2017,http://link.springer.com/chapter/10.1007/978-1-4842-3033-6_10,Chapter
"Data Visualizations, Alerts, and Notifications with Power BI",Business in Real-Time Using Azure IoT and Cortana Intelligence Suite,,,,10.1007/978-1-4842-2650-6_9,Bob FamiliarJeff Barnes,2017,http://link.springer.com/chapter/10.1007/978-1-4842-2650-6_9,Chapter
Developing a Common Understanding of IT Services – The Case of a German University,"Human Interface and the Management of Information: Information, Knowledge and Interaction Design",,,,10.1007/978-3-319-58521-5_32,Christian Remfert,2017,http://link.springer.com/chapter/10.1007/978-3-319-58521-5_32,Chapter
Community clouds within M-commerce: a privacy by design perspective,Journal of Cloud Computing,,6,1,10.1186/s13677-017-0093-0,Farid ShiraziAmna Iqbal,2017,http://link.springer.com/article/10.1186/s13677-017-0093-0,Article
Demystifying the Traits of Software-Defined Cloud Environments (SDCEs),Automated Workflow Scheduling in Self-Adaptive Clouds,,,,10.1007/978-3-319-56982-6_2,G. KousalyaP. BalakrishnanC. Pethuru Raj,2017,http://link.springer.com/chapter/10.1007/978-3-319-56982-6_2,Chapter
Coordination Models for 5G Multi-provider Service Orchestration: Specification and Assessment,"Economics of Grids, Clouds, Systems, and Services",,,,10.1007/978-3-319-68066-8_20,George DarzanosManos DramitinosGeorge D. Stamoulis,2017,http://link.springer.com/chapter/10.1007/978-3-319-68066-8_20,Chapter
Serverless Computing: Current Trends and Open Problems,Research Advances in Cloud Computing,,,,10.1007/978-981-10-5026-8_1,Ioana BaldiniPaul CastroKerry ChangPerry ChengStephen FinkVatche IshakianNick MitchellVinod MuthusamyRodric RabbahAleksander SlominskiPhilippe Suter,2017,http://link.springer.com/chapter/10.1007/978-981-10-5026-8_1,Chapter
Costradamus: A Cost-Tracing System for Cloud-Based Software Services,Service-Oriented Computing,,,,10.1007/978-3-319-69035-3_48,Jörn KuhlenkampMarkus Klems,2017,http://link.springer.com/chapter/10.1007/978-3-319-69035-3_48,Chapter
Architecture,Network Programming with Go,,,,10.1007/978-1-4842-2692-6_1,Jan Newmarch,2017,http://link.springer.com/chapter/10.1007/978-1-4842-2692-6_1,Chapter
Next-Level Static Content Hosting,Website Hosting and Migration with Amazon Web Services,,,,10.1007/978-1-4842-2589-9_5,Jason Nadon,2017,http://link.springer.com/chapter/10.1007/978-1-4842-2589-9_5,Chapter
Research on the Description Method of the Atomic Services in Extensible Network Service Model,Geo-Spatial Knowledge and Intelligence,,,,10.1007/978-981-10-3969-0_22,Jie RenJun Shen,2017,http://link.springer.com/chapter/10.1007/978-981-10-3969-0_22,Chapter
"More Sharing, More Benefits? A Study of Library Sharing in Container-Based Infrastructures",Euro-Par 2017: Parallel Processing,,,,10.1007/978-3-319-64203-1_26,José Bravo FerreiraMarco CelloJesús Omana Iglesias,2017,http://link.springer.com/chapter/10.1007/978-3-319-64203-1_26,Chapter
Industry 4.0 and Its Development in Colombian Industry,Applied Computer Sciences in Engineering,,,,10.1007/978-3-319-66963-2_28,Kelly Viviana Bareño SinisterraStefhania Mora MejíaJosé Ignacio Rodríguez Molano,2017,http://link.springer.com/chapter/10.1007/978-3-319-66963-2_28,Chapter
Empowering Low-Latency Applications Through a Serverless Edge Computing Architecture,Service-Oriented and Cloud Computing,,,,10.1007/978-3-319-67262-5_15,Luciano BaresiDanilo Filgueira MendonçaMartin Garriga,2017,http://link.springer.com/chapter/10.1007/978-3-319-67262-5_15,Chapter
Factoring as a Service,Financial Cryptography and Data Security,,,,10.1007/978-3-662-54970-4_19,Luke ValentaShaanan CohneyAlex LiaoJoshua FriedSatya BodduluriNadia Heninger,2017,http://link.springer.com/chapter/10.1007/978-3-662-54970-4_19,Chapter
"Cost comparison of running web applications in the cloud using monolithic, microservice, and AWS Lambda architectures",Service Oriented Computing and Applications,,11,2,10.1007/s11761-017-0208-y,Mario VillamizarOscar GarcésLina OchoaHarold CastroLorena SalamancaMauricio VeranoRubby CasallasSantiago GilCarlos ValenciaAngee ZambranoMery Lang,2017,http://link.springer.com/article/10.1007/s11761-017-0208-y,Article
Battery Monitoring Within Industry 4.0 Landscape: Solution as a Service (SaaS) for Industrial Power Unit Systems,"Internet of Things, Smart Spaces, and Next Generation Networks and Systems",,,,10.1007/978-3-319-67380-6_4,Mathieu DevosPavel Masek,2017,http://link.springer.com/chapter/10.1007/978-3-319-67380-6_4,Chapter
Service-Driven Enrichment for KbR in the OMiLAB Environment,Serviceology for Services,,,,10.1007/978-3-319-61240-9_16,Michael WalchDimitris Karagiannis,2017,http://link.springer.com/chapter/10.1007/978-3-319-61240-9_16,Chapter
Coincer: Decentralised Trustless Platform for Exchanging Decentralised Cryptocurrencies,Network and System Security,,,,10.1007/978-3-319-64701-2_53,Michal Zima,2017,http://link.springer.com/chapter/10.1007/978-3-319-64701-2_53,Chapter
A QoS-Aware Resource Allocation Controller for Function as a Service (FaaS) Platform,Service-Oriented Computing,,,,10.1007/978-3-319-69035-3_17,MohammadReza HoseinyFarahabadyYoung Choon LeeAlbert Y. ZomayaZahir Tari,2017,http://link.springer.com/chapter/10.1007/978-3-319-69035-3_17,Chapter
WSNs in FIWARE – Towards the Development of People-Centric Applications,Highlights of Practical Applications of Cyber-Physical Multi-Agent Systems,,,,10.1007/978-3-319-60285-1_38,Ngombo ArmandoDuarte RaposoMarcelo FernandesAndré RodriguesJorge Sá SilvaFernando Boavida,2017,http://link.springer.com/chapter/10.1007/978-3-319-60285-1_38,Chapter
"Innovation, KPIs, Best Practices, and More for Machine Learning",Machine Learning for Decision Makers,,,,10.1007/978-1-4842-2988-0_7,Patanjali Kashyap,2017,http://link.springer.com/chapter/10.1007/978-1-4842-2988-0_7,Chapter
Let’s Integrate with Machine Learning,Machine Learning for Decision Makers,,,,10.1007/978-1-4842-2988-0_1,Patanjali Kashyap,2017,http://link.springer.com/chapter/10.1007/978-1-4842-2988-0_1,Chapter
Management of Multi-cloud Computing,Global Sourcing of Digital Services: Micro and Macro Perspectives,,,,10.1007/978-3-319-70305-3_8,Paul AlparAriana Polyviou,2017,http://link.springer.com/chapter/10.1007/978-3-319-70305-3_8,Chapter
Serverless Execution of Scientific Workflows,Service-Oriented Computing,,,,10.1007/978-3-319-69035-3_51,Qingye JiangYoung Choon LeeAlbert Y. Zomaya,2017,http://link.springer.com/chapter/10.1007/978-3-319-69035-3_51,Chapter
ATSDS: adaptive two-stage deadline-constrained workflow scheduling considering run-time circumstances in cloud computing environments,The Journal of Supercomputing,,73,6,10.1007/s11227-016-1928-z,Reihaneh KhorsandFaramarz Safi-EsfahaniNaser NematbakhshMehran Mohsenzade,2017,http://link.springer.com/article/10.1007/s11227-016-1928-z,Article
Optimizing the Profit and QoS of Virtual Brokers in the Cloud,Cloud Computing,,,,10.1007/978-3-319-54645-2_11,Santiago IturriagaSergio NesmachnowBernabé Dorronsoro,2017,http://link.springer.com/chapter/10.1007/978-3-319-54645-2_11,Chapter
Ubiquitous Connections: The Internet of People and Things,Crowd-Powered Mobile Computing and Smart Things,,,,10.1007/978-3-319-54436-6_1,Seng W. Loke,2017,http://link.springer.com/chapter/10.1007/978-3-319-54436-6_1,Chapter
Private Data System Enabling Self-Sovereign Storage Managed by Executable Choreographies,Distributed Applications and Interoperable Systems,,,,10.1007/978-3-319-59665-5_6,Sinică AlboaieDoina Cosovan,2017,http://link.springer.com/chapter/10.1007/978-3-319-59665-5_6,Chapter
Bi-directional and concurrent proof of ownership for stronger storage services with de-duplication,Science China Information Sciences,,61,3,10.1007/s11432-017-9116-x,Taek-Young YounKu-Young Chang,2017,http://link.springer.com/article/10.1007/s11432-017-9116-x,Article
Unpacking Ethereum,Blockchain Enabled Applications,,,,10.1007/978-1-4842-3081-7_4,Vikram DhillonDavid MetcalfMax Hooper,2017,http://link.springer.com/chapter/10.1007/978-1-4842-3081-7_4,Chapter
"Formally Verified Safe Vertical Maneuvers for Non-deterministic, Accelerating Aircraft Dynamics",Interactive Theorem Proving,,,,10.1007/978-3-319-66107-0_22,Yanni KouskoulasDaniel GeninAurora SchmidtJean-Baptiste Jeannin,2017,http://link.springer.com/chapter/10.1007/978-3-319-66107-0_22,Chapter
"Distributed Video Analytics Across Edge and Cloud Using 
                  
                    
                  
                  $$\mathbb {ECHO}$$",Service-Oriented Computing – ICSOC 2017 Workshops,,,,10.1007/978-3-319-91764-1_39,Aakash KhocharePushkara RavindraSiva P. ReddyYogesh Simmhan,2018,http://link.springer.com/chapter/10.1007/978-3-319-91764-1_39,Chapter
Contiki-NG and Cloud Server,Practical Contiki-NG,,,,10.1007/978-1-4842-3408-2_8,Agus Kurniawan,2018,http://link.springer.com/chapter/10.1007/978-1-4842-3408-2_8,Chapter
A Quantitative Approach for the Assessment of Microservice Architecture Deployment Alternatives by Automated Performance Testing,Software Architecture,,,,10.1007/978-3-030-00761-4_11,Alberto AvritzerVincenzo FermeAndrea JanesBarbara RussoHenning SchulzAndré van Hoorn,2018,http://link.springer.com/chapter/10.1007/978-3-030-00761-4_11,Chapter
Assurance Benefits of ISO 26262 Compliant Microcontrollers for Safety-Critical Avionics,"Computer Safety, Reliability, and Security",,,,10.1007/978-3-319-99130-6_3,Andreas SchwierzHåkan Forsberg,2018,http://link.springer.com/chapter/10.1007/978-3-319-99130-6_3,Chapter
Serverless Node with AWS Lambda,Practical Node.js,,,,10.1007/978-1-4842-3039-8_16,Azat Mardan,2018,http://link.springer.com/chapter/10.1007/978-1-4842-3039-8_16,Chapter
Conclusion,Practical Node.js,,,,10.1007/978-1-4842-3039-8_17,Azat Mardan,2018,http://link.springer.com/chapter/10.1007/978-1-4842-3039-8_17,Chapter
Node Microservices with Docker and AWS ECS,Practical Node.js,,,,10.1007/978-1-4842-3039-8_15,Azat Mardan,2018,http://link.springer.com/chapter/10.1007/978-1-4842-3039-8_15,Chapter
Resource optimization of container orchestration: a case study in multi-cloud microservices-based applications,The Journal of Supercomputing,,74,7,10.1007/s11227-018-2345-2,Carlos GuerreroIsaac LeraCarlos Juiz,2018,http://link.springer.com/article/10.1007/s11227-018-2345-2,Article
Deployment,The Full Stack Developer,,,,10.1007/978-1-4842-4152-3_13,Chris Northwood,2018,http://link.springer.com/chapter/10.1007/978-1-4842-4152-3_13,Chapter
"SPARQ
                  
                    
                  
                  $$\lambda $$
                : A Functional Perspective on Linked Data Services",Semantic Technology,,,,10.1007/978-3-030-04284-4_10,Christian VogelgesangTorsten SpieldennerRené Schubotz,2018,http://link.springer.com/chapter/10.1007/978-3-030-04284-4_10,Chapter
